Address,City,State,Zipcode,latitude,longitude,Common Name,Tree,Detail,Image URL,Image_name
50 San Buenaventura Street,San Francisco,CA,94127,37.735658,-122.46569,brush cherry,Syzygium paniculatum,entire street is lined with brush cherries,,default_tree.png
,,,,37.782879,-122.490251,lilly pilly tree,Syzygium smithii,across street from 349 31st Avenue ,,default_tree.png
,,,,37.758818,-122.426274,Montezuma cypress,Taxodium mucronatum,in Dolores park between 19th and 20th streets; grove of three trees,https://i.postimg.cc/28YzsS1N/montezumecypress.jpg,taxodium_mucronatum.jpg
1955 9th Avenue,San Francisco,CA,94116,37.7518115,-122.4657,little-leaf linden,Tilia cordata,,,default_tree.png
,,,,37.764185,-122.411647,windmill palm,Trachycarpus fortunei,"17th Street between Bryant and Alabama, south side",,default_tree.png
738 Ashbury Street,San Francisco,CA,94117,37.767995,-122.44622,small-leaf tristania,Tristaniapsis laurina ,,,default_tree.png
317 Castro Street,San Francisco,CA,94114,37.763484,-122.43496,small-leaf tristania,Tristaniapsis laurina ,,,default_tree.png
255 Hartford Street,San Francisco,CA,94114,37.758505,-122.43334,Chinese elm,Ulmus parvifolia,,,ulmus_parvifolia.jpg
,,,,37.772254,-122.45104,California bay,Umbellularia californica,"in panhandle, across from 2006-10 Fell Street",,default_tree.png
1279 7th Avenue,San Francisco,CA,94112,37.764471,-122.46448,Mexican fan palm,Washingtonia robusta,,,default_tree.png
1424 18th Street,,,94107,37.762663,-122.3972,Caracas wigandia,Wigandia urens,"just uphill from this address, in yard over the fence.  Only one I know of in San Francisco.",,default_tree.png
3714 Cesar Chavez Street,San Francisco,CA,94110,37.748108,-122.42294,devil's hand tree,x Chiranthofremontia lenzii ,,,x_chiranthofremontia_lenzii.jpg
800 Carolina Street,San Francisco,CA,94107,37.7585148,-122.40029,chitalpa 'pink dawn',x Chitalpa tashkentensis,only one on SF streets,,default_tree.png
,,,,37.761277,-122.3987,shiny xylosma,Xylosma congestum,corner of 19th and Carolina; north side; just east of corner,https://i.postimg.cc/7ZH67QzS/Xylosma.jpg,xylosma_congestum.jpg
420 Noe Street,San Francisco,CA,94114,37.762224,-122.43327,giant yucca,Yucca gigantea,,,default_tree.png
1908 Buchanan Street,San Francisco,CA,94115,37.787838,-122.42999,sawleaf zelkova,Zelkova serrata,,,default_tree.png
